,building_floor,building_floor_pred
10951,3,3
8140,2,2
8463,0,0
15080,11,11
9141,3,3
5670,12,12
11907,21,21
6048,20,20
7321,3,3
19534,21,21
13461,11,11
3369,21,21
2807,23,23
14137,23,23
16189,2,2
14911,21,21
13108,22,22
304,23,23
7679,1,1
6816,20,20
4465,21,21
5262,12,12
8837,22,22
8327,11,11
5712,20,20
10004,3,3
14369,22,22
7520,22,22
18246,0,0
7483,11,11
3037,24,24
19177,20,20
511,23,23
4933,20,20
5754,20,20
13688,23,23
4336,21,21
9175,23,23
5829,20,20
7470,11,11
6421,13,13
7645,1,1
19828,21,21
11732,21,21
8126,2,2
750,23,23
14610,21,21
15104,21,21
16877,0,0
18084,2,2
6257,20,20
742,23,23
12122,24,24
176,23,23
18093,2,2
17906,3,3
10451,3,3
12099,11,11
18587,20,20
5388,20,20
18052,1,1
13808,23,23
9598,3,3
13422,22,22
8263,23,23
10128,23,23
10552,23,23
19337,13,13
5906,13,13
13730,22,22
601,23,23
17348,3,3
17947,0,0
11791,21,21
3941,21,21
18992,20,20
15786,0,0
381,23,23
14311,23,23
17659,3,3
4507,10,10
6283,20,20
10542,23,23
19356,13,13
13835,23,23
14336,23,23
14363,22,22
8270,23,23
18453,3,3
17822,2,2
17197,1,1
6766,12,12
18690,21,21
6426,20,20
4439,21,21
19431,13,13
17920,3,3
10053,3,3
13408,22,22
1372,12,12
984,12,12
439,12,12
16534,3,3
3784,21,21
30,12,12
1604,12,12
6702,20,20
7670,1,1
6566,20,20
16855,0,0
285,23,23
18824,20,20
16812,3,3
411,23,23
339,12,12
17293,2,2
10283,0,0
6754,20,20
8966,1,1
14083,22,22
1226,24,24
6830,20,20
6604,13,13
5334,20,20
10792,1,1
9681,11,11
7989,22,22
903,12,12
11832,21,21
8936,0,0
2351,24,24
4331,21,21
16592,0,0
16115,1,1
14751,10,10
10426,2,2
11865,21,21
4040,21,21
1593,12,12
14676,21,21
6072,20,20
366,12,12
9398,0,0
7280,2,2
2199,23,23
3081,23,23
15188,11,11
14116,11,11
10978,10,10
14435,11,11
3018,24,24
6136,20,20
13145,11,11
3408,10,10
18302,1,1
6908,20,20
16675,1,1
17603,3,3
1653,12,12
5034,20,20
3425,10,10
18194,3,3
13023,11,11
9475,2,2
8281,23,23
14750,10,10
9882,1,1
18656,20,20
13501,23,23
1206,24,24
17438,0,0
4205,21,21
19780,21,21
17810,2,2
1486,12,12
14397,22,22
12963,22,22
17521,2,2
11837,21,21
18086,2,2
8715,23,23
85,23,23
7353,3,3
167,23,23
10367,1,1
13708,22,22
18393,2,2
13006,11,11
13284,22,22
2830,24,24
7692,2,2
10470,3,3
10761,0,0
12093,11,11
10870,2,2
7050,12,12
15725,21,21
14159,23,23
4049,21,21
1418,12,12
18831,20,20
2254,23,23
3890,21,21
4339,21,21
8221,3,3
46,23,23
5764,13,13
16180,2,2
11747,21,21
19544,13,13
16181,2,2
17539,2,2
16353,1,1
19769,13,13
2069,23,23
1522,12,12
5635,20,20
18461,3,3
12158,10,10
17281,2,2
9996,3,3
1078,23,23
7791,3,3
11903,21,21
2175,23,23
8943,0,0
624,23,23
17154,0,0
3225,24,24
8636,3,3
9488,2,2
6727,20,20
19136,20,20
11096,22,22
18003,1,1
18224,0,0
3553,10,10
2777,23,23
257,12,12
13498,23,23
147,12,12
11014,23,23
15348,10,10
1354,12,12
7421,23,23
17649,3,3
19306,13,13
12057,21,21
11776,21,21
7815,10,10
15775,0,0
6838,20,20
5415,20,20
6531,20,20
13118,22,22
15879,1,1
13462,11,11
19905,13,13
15616,21,21
2447,24,24
1887,23,23
14224,22,22
11015,23,23
905,12,12
13829,23,23
17888,3,3
6108,12,12
4223,10,10
16384,1,1
3104,23,23
19522,21,21
16329,0,0
14710,21,21
5285,13,13
9169,23,23
8997,1,1
10407,2,2
7891,11,11
10537,23,23
13888,22,22
15009,21,21
16506,3,3
16137,1,1
18493,3,3
14427,11,11
18282,0,0
9103,3,3
19397,13,13
3109,24,24
2006,23,23
18762,21,21
19240,21,21
7590,0,0
5335,20,20
9387,0,0
1693,23,23
16315,0,0
13867,22,22
16723,2,2
7883,11,11
3292,10,10
19234,20,20
2499,23,23
5940,20,20
11307,2,2
15988,3,3
6828,20,20
8838,22,22
17318,3,3
15288,11,11
17222,1,1
2574,23,23
6016,13,13
13930,11,11
14992,11,11
9912,1,1
9629,23,23
11899,21,21
12155,10,10
8575,2,2
15588,10,10
5452,12,12
4092,10,10
6336,20,20
6612,20,20
19560,21,21
17524,2,2
14936,10,10
3604,21,21
15584,10,10
7953,22,22
15837,1,1
7146,0,0
17579,2,2
2925,24,24
13120,22,22
1064,23,23
16580,0,0
12976,22,22
1771,23,23
9542,3,3
3992,10,10
11823,21,21
13663,23,23
3868,11,11
7729,2,2
4774,20,20
17564,2,2
15607,11,11
19765,13,13
5661,12,12
15829,1,1
2299,23,23
19399,13,13
19254,20,20
16796,3,3
14982,11,11
16975,2,2
10032,3,3
1683,23,23
19708,21,21
17802,2,2
13710,22,22
19209,21,21
578,12,12
8433,22,22
334,12,12
4888,20,20
5600,20,20
10456,3,3
17924,3,3
5507,20,20
8453,0,0
676,12,12
13974,23,23
6431,20,20
782,12,12
11052,11,11
18951,21,21
1796,22,22
13203,23,23
14815,21,21
8983,1,1
6002,12,12
13854,10,10
8138,2,2
15058,10,10
15519,21,21
3168,23,23
4064,21,21
8774,11,11
9274,22,22
2836,24,24
19373,13,13
4770,20,20
1955,23,23
5752,20,20
9457,1,1
9127,3,3
10449,3,3
6939,12,12
13481,23,23
533,23,23
18841,20,20
469,12,12
10304,0,0
3764,21,21
4944,13,13
19386,13,13
9214,23,23
1266,24,24
4996,13,13
7994,22,22
12034,21,21
7831,23,23
3783,21,21
11663,21,21
7633,1,1
15424,21,21
8496,1,1
13718,22,22
15949,2,2
16334,0,0
1566,12,12
10461,3,3
15649,21,21
16418,1,1
6540,20,20
18201,3,3
19114,20,20
1544,12,12
10595,11,11
17782,1,1
7926,22,22
14727,21,21
14229,22,22
14725,21,21
7723,2,2
15481,10,10
9312,22,22
8248,10,10
2471,23,23
19268,20,20
15138,10,10
11180,0,0
10885,2,2
4444,21,21
10380,2,2
