,index,LONGITUDE,LATITUDE
10951,0,-7639.180100001395,4864913.130099997
8140,1,-7601.616200000048,4864980.348899998
8463,2,-7643.2014999985695,4864947.990599997
15080,3,-7435.137299999595,4864861.710100003
9141,4,-7682.559099998325,4864932.3116
5670,5,-7439.543800000101,4864864.079400003
11907,6,-7370.775379050523,4864770.922951184
6048,7,-7314.611699998379,4864800.712399997
7321,8,-7594.736999999732,4864983.902400002
19534,9,-7390.620600000024,4864836.055799998
13461,10,-7510.211205821484,4864949.287095763
3369,11,-7324.582886133343,4864813.8198470175
2807,12,-7336.700399998575,4864764.478799999
14137,13,-7366.095899999142,4864845.581600003
16189,14,-7616.688900001347,4864976.028099999
14911,15,-7352.520300000906,4864833.494800001
13108,16,-7314.132500000298,4864816.752599999
304,17,-7384.211300000548,4864776.0964
7679,18,-7594.736999999732,4864983.902400002
6816,19,-7360.539299998432,4864837.943800002
4465,20,-7315.743400000036,4864802.071500003
5262,21,-7435.0553999990225,4864878.1765
8837,22,-7330.668299999088,4864825.926600002
8327,23,-7510.211205821484,4864949.287095763
5712,24,-7342.435300000012,4864756.9575999975
10004,25,-7603.565099999309,4864979.790100001
14369,26,-7330.668299999088,4864825.926600002
7520,27,-7323.883299998939,4864822.1624
18246,28,-7650.165600001812,4864937.056900002
7483,29,-7572.053273737431,4864882.367118061
3037,30,-7338.857999999076,4864825.9152000025
19177,31,-7377.218935716897,4864859.9856831655
511,32,-7399.109700001776,4864784.361699998
4933,33,-7307.774300001562,4864814.599399999
5754,34,-7333.069099999964,4864769.216300003
13688,35,-7360.497299998999,4864837.920500003
4336,36,-7330.786899998784,4864821.437299997
9175,37,-7375.028700001538,4864855.459899999
5829,38,-7318.694800000638,4864795.302100003
7470,39,-7545.474832799286,4864929.947813578
6421,40,-7458.0821999982,4864831.376599997
7645,41,-7669.247800000012,4864936.126800001
19828,42,-7384.873199999332,4864780.518600002
11732,43,-7363.159000001848,4864768.471699998
8126,44,-7642.445999998599,4865016.687799998
750,45,-7368.386100001633,4864769.406199999
14610,46,-7376.317116655409,4864861.7561028525
15104,47,-7381.686900001019,4864845.7553
16877,48,-7638.067699998617,4865000.620200001
18084,49,-7637.002300001681,4864905.532300003
6257,50,-7365.719614882022,4864851.11348962
742,51,-7383.265599999577,4864777.661399998
12122,52,-7337.716099999845,4864825.2817
176,53,-7411.2507000006735,4864792.7678999975
18093,54,-7667.351799998432,4864936.670500003
17906,55,-7633.469399999827,4864965.338399999
10451,56,-7633.386599998921,4864970.1708
12099,57,-7474.553700000048,4864866.8565
18587,58,-7321.8462610282,4864826.773397222
5388,59,-7408.338870193809,4864811.529825352
18052,60,-7661.753100000322,4864938.275399998
13808,61,-7366.095899999142,4864845.581600003
9598,62,-7682.559099998325,4864932.3116
13422,63,-7324.080699998885,4864817.717
8263,64,-7388.263861134648,4864839.578899831
10128,65,-7316.963899999857,4864795.236500002
10552,66,-7359.148499999195,4864841.7272000015
19337,67,-7474.670000001788,4864865.918799996
5906,68,-7417.558400001377,4864893.060199998
13730,69,-7312.662200000137,4864807.624899998
601,70,-7344.211399998516,4864750.939999998
17348,71,-7628.134500000626,4864977.021200001
17947,72,-7685.72349999845,4864929.890299998
11791,73,-7315.743400000036,4864802.071500003
3941,74,-7317.651000000536,4864794.628600001
18992,75,-7380.90700000152,4864847.1611
15786,76,-7643.2014999985695,4864947.990599997
381,77,-7339.153887175024,4864749.384690456
14311,78,-7311.919399999082,4864808.963799998
17659,79,-7675.406700000167,4864932.779600002
4507,80,-7468.870245195925,4864827.937682956
6283,81,-7322.587600000203,4864821.443499997
10542,82,-7380.934599999338,4864847.235600002
19356,83,-7470.539500001818,4864863.624300003
13835,84,-7325.052900001407,4864818.703599997
14336,85,-7367.458799999207,4864841.782799996
14363,86,-7377.778799999505,4864852.8002
8270,87,-7376.317116655409,4864861.7561028525
18453,88,-7622.325800001621,4864976.611699998
17822,89,-7689.513399999589,4864928.736100003
17197,90,-7641.573199998587,4865008.853
6766,91,-7432.442200001329,4864883.1646
18690,92,-7330.786899998784,4864821.437299997
6426,93,-7390.548551443964,4864840.4913816005
4439,94,-7376.631799999624,4864855.089699999
19431,95,-7470.539500001818,4864863.624300003
17920,96,-7638.276000000536,4864905.187200002
10053,97,-7682.559099998325,4864932.3116
13408,98,-7311.919399999082,4864808.963799998
1372,99,-7504.881400000304,4864865.5295
984,100,-7527.451099999249,4864929.146399997
439,101,-7524.570399999618,4864934.093000002
16534,102,-7637.556499999016,4864907.466200002
3784,103,-7325.23409999907,4864818.356799997
30,104,-7480.124099999666,4864894.930600002
1604,105,-7519.152399998158,4864949.532200001
6702,106,-7390.548551443964,4864840.4913816005
7670,107,-7616.688900001347,4864976.028099999
6566,108,-7307.774300001562,4864814.599399999
16855,109,-7639.649500001222,4864915.041199997
285,110,-7413.154800001532,4864789.236699998
18824,111,-7357.698199998587,4864840.922600001
16812,112,-7640.679200001061,4864913.532200001
411,113,-7383.265599999577,4864777.661399998
339,114,-7571.071074258536,4864890.459293477
17293,115,-7616.9461999982595,4864980.0132
10283,116,-7640.976199999452,4865010.659500003
6754,117,-7320.078899998218,4864794.327799998
8966,118,-7682.559099998325,4864932.3116
14083,119,-7367.458799999207,4864841.782799996
1226,120,-7391.35909999907,4864782.1516999975
6830,121,-7333.183200001717,4864822.766999997
6604,122,-7435.067499998957,4864878.1545
5334,123,-7398.428199999034,4864788.038999997
10792,124,-7676.643599998206,4864934.006999999
9681,125,-7536.4928999990225,4864918.059600003
7989,126,-7353.723400000483,4864834.1625000015
903,127,-7489.177499998361,4864899.944899999
11832,128,-7312.58323821798,4864797.236874931
8936,129,-7646.244600001723,4864925.928999998
2351,130,-7337.716099999845,4864825.2817
4331,131,-7312.58323821798,4864797.236874931
16592,132,-7632.238800000399,4864988.249200001
16115,133,-7641.899399999529,4865014.780100003
14751,134,-7421.933200001717,4864863.970899999
10426,135,-7637.556499999016,4864907.466200002
11865,136,-7366.449900001287,4864770.297300004
4040,137,-7338.25903988257,4864821.407184206
1593,138,-7507.032078322023,4864834.893869832
14676,139,-7363.986104570329,4864850.150565036
6072,140,-7352.664768945426,4864829.44932691
366,141,-7506.529300000519,4864862.554300003
9398,142,-7637.728900000453,4864903.183399998
7280,143,-7639.180100001395,4864913.130099997
2199,144,-7329.376800000668,4864825.210199997
3081,145,-7368.386100001633,4864769.406199999
15188,146,-7425.661100000143,4864873.132700004
14116,147,-7537.241000000387,4864895.7321000025
10978,148,-7524.514299999922,4864934.194600001
14435,149,-7516.413621235639,4864937.650390036
3018,150,-7349.546000000089,4864836.399800003
6136,151,-7404.436200000346,4864808.869900003
13145,152,-7568.8610000014305,4864876.416199997
3408,153,-7458.381099998951,4864852.149700001
18302,154,-7639.35000000149,4865001.098099999
6908,155,-7360.539299998432,4864837.943800002
16675,156,-7689.513399999589,4864928.736100003
17603,157,-7596.648699998856,4864983.354699999
1653,158,-7536.621199999005,4864934.225199997
5034,159,-7304.483600001782,4864820.875299998
3425,160,-7432.24384206906,4864893.576495245
18194,161,-7638.807999998331,4864907.044100001
13023,162,-7549.37943457067,4864878.413713895
9475,163,-7641.573199998587,4865008.853
8281,164,-7373.052799999714,4864844.886500001
14750,165,-7424.301600001752,4864859.706600003
9882,166,-7674.972300000489,4864934.486199997
18656,167,-7359.913360092789,4864833.420775659
13501,168,-7315.743400000036,4864802.071500003
1206,169,-7390.095800001174,4864781.450599998
17438,170,-7592.718600001186,4864984.430299997
4205,171,-7353.723400000483,4864834.1625000015
19780,172,-7404.835700001568,4864808.159000002
17810,173,-7638.276000000536,4864905.187200002
1486,174,-7504.881400000304,4864865.5295
14397,175,-7318.341099999845,4864814.532499999
12963,176,-7318.341099999845,4864814.532499999
17521,177,-7644.034899998456,4864930.066799998
11837,178,-7309.849300000817,4864812.695299998
18086,179,-7659.935300000012,4864938.7962
8715,180,-7383.733100000769,4864842.191699997
85,181,-7383.265599999577,4864777.661399998
7353,182,-7637.002300001681,4864905.532300003
167,183,-7344.968400001526,4864749.575999998
10367,184,-7609.25039999932,4864978.160700001
13708,185,-7380.866799999028,4864847.233599998
18393,186,-7603.565099999309,4864979.790100001
13006,187,-7533.837600000203,4864939.373000003
13284,188,-7374.347500000149,4864845.604699999
2830,189,-7321.037900000811,4864820.583700001
7692,190,-7642.445999998599,4865016.687799998
10470,191,-7637.177999999374,4864993.520599999
10761,192,-7661.896899998188,4864934.618799999
12093,193,-7474.495200000703,4864891.586599998
10870,194,-7602.096400000155,4864981.792999998
7050,195,-7457.927200000733,4864831.290899999
15725,196,-7379.799400001764,4864849.157899998
14159,197,-7316.680700000375,4864814.058700003
4049,198,-7317.617266863584,4864809.973069936
1418,199,-7516.615392487496,4864937.625783786
18831,200,-7359.297899998724,4864837.255099997
2254,201,-7345.42330000177,4864829.557700001
3890,202,-7372.802999999374,4864849.302699998
4339,203,-7324.582886133343,4864813.8198470175
8221,204,-7644.034899998456,4864930.066799998
46,205,-7331.747999999672,4864767.318000004
5764,206,-7411.625444985926,4864887.55739639
16180,207,-7691.338399998844,4864928.212899998
11747,208,-7311.919399999082,4864808.963799998
19544,209,-7524.86381759122,4864950.191375457
16181,210,-7682.084399998188,4864930.865400001
17539,211,-7682.559099998325,4864932.3116
16353,212,-7616.688900001347,4864976.028099999
19769,213,-7519.111800000071,4864949.509800002
2069,214,-7366.2424000017345,4864841.108000003
1522,215,-7511.5214999988675,4864853.5402000025
5635,216,-7352.664768945426,4864829.44932691
18461,217,-7644.034899998456,4864930.066799998
12158,218,-7500.175299998373,4864879.856799997
17281,219,-7616.688900001347,4864976.028099999
9996,220,-7616.688900001347,4864976.028099999
1078,221,-7363.996100001037,4864764.880800001
7791,222,-7661.753100000322,4864938.275399998
11903,223,-7396.255971133709,4864776.28465306
2175,224,-7375.028700001538,4864855.459899999
8943,225,-7639.136199999601,4864913.2513
624,226,-7397.859799999744,4864783.668200001
17154,227,-7638.067699998617,4865000.620200001
3225,228,-7359.331099998206,4864837.273500003
8636,229,-7594.736999999732,4864983.902400002
9488,230,-7596.20320000127,4864981.900200002
6727,231,-7351.981125298887,4864843.493344098
19136,232,-7318.694800000638,4864795.302100003
11096,233,-7390.620600000024,4864836.055799998
18003,234,-7616.688900001347,4864976.028099999
18224,235,-7682.543800000101,4864932.339500003
3553,236,-7426.938324466348,4864864.108050242
2777,237,-7376.401000000536,4864773.852899998
257,238,-7504.881400000304,4864865.5295
13498,239,-7309.517499998212,4864813.293499999
147,240,-7474.652600001544,4864865.952500001
11014,241,-7373.052799999714,4864844.886500001
15348,242,-7456.977499999106,4864830.765100002
1354,243,-7559.78200000152,4864871.373499997
7421,244,-7330.597199998796,4864821.779299997
17649,245,-7669.247800000012,4864936.126800001
19306,246,-7512.540187384933,4864885.307564937
12057,247,-7327.959273736924,4864815.692792743
11776,248,-7375.148099999875,4864773.736500002
7815,249,-7562.192000001669,4864866.7744999975
15775,250,-7641.28579999879,4864920.750600003
6838,251,-7307.774300001562,4864814.599399999
5415,252,-7333.183200001717,4864822.766999997
6531,253,-7367.409899998456,4864841.755599998
13118,254,-7324.080699998885,4864817.717
15879,255,-7682.084399998188,4864930.865400001
13462,256,-7528.608068633825,4864959.505251184
19905,257,-7527.402600001544,4864929.238300003
15616,258,-7390.734700001776,4864835.035099998
2447,259,-7353.723400000483,4864834.1625000015
1887,260,-7360.497299998999,4864837.920500003
14224,261,-7312.662200000137,4864807.624899998
