,target,model,dataset,mean_squared_error,r2_score
0,LONGITUDE,RFR,test,61.93772967798046,0.9960418491142733
1,LONGITUDE,RFR,val,194.37580648315,0.9865365335445485
2,LONGITUDE,KNNR,test,86.02678548574438,0.9945024301191383
3,LONGITUDE,KNNR,val,290.66955722132184,0.9798667339105834
4,LONGITUDE,DTR,test,96.87589813332502,0.9938091140247539
5,LONGITUDE,DTR,val,257.4434211326449,0.9821681467086466
6,LATITUDE,RFR,test,24.77298235165661,0.9944997782141468
7,LATITUDE,RFR,val,175.6052823358063,0.9644078562283465
8,LATITUDE,KNNR,test,175.6052823358063,0.9644078562283465
9,LATITUDE,KNNR,val,216.9724113992223,0.9560234569354475
10,LATITUDE,DTR,test,48.18679559602176,0.9893013259701464
11,LATITUDE,DTR,val,424.13994497145376,0.9140341924802847
